NSE Index	""	""	""	""	""	""
Ticker	NSE Index	CNX500	CPSE	NIFINDIAMANU	NIFMICCAP250	NIFTOTALMAR
Name	Nifty 50	Nifty 500	Nifty CPSE	Nifty India Manufacturing Index	Nifty Microcap 250 Index	Nifty Total Market
URL	https://strike-analytics-dev.netlify.app/stocks/nifty-50	https://strike-analytics-dev.netlify.app/stocks/nifty-500	https://strike-analytics-dev.netlify.app/stocks/nifty-cpse	https://strike-analytics-dev.netlify.app/stocks/nifty-india-manufacturing-index	https://strike-analytics-dev.netlify.app/stocks/nifty-microcap-250-index	https://strike-analytics-dev.netlify.app/stocks/nifty-total-market
2025-05-15 18:40:59.000000	24837.15	22639.65	6339.3	14027.85	22634.8	12729.5
2025-05-15 18:45:59.000000	24911.35	22685.7	6361.15	14047.05	22636.0	12754.5
2025-05-15 18:50:59.000000	24872.3	22658.75	6352.6	14035.7	22620.4	12739.55
2025-05-15 18:55:59.000000	24872.05	22654.7	6351.95	14030.4	22606.75	12737.1
2025-05-15 19:00:59.000000	24942.05	22699.75	6364.5	14048.25	22609.65	12761.5
2025-05-15 19:05:59.000000	24948.5	22701.5	6366.95	14049.55	22602.85	12762.3
2025-05-15 19:10:59.000000	24993.8	22733.25	6380.2	14070.0	22607.15	12779.6
2025-05-15 19:15:59.000000	25031.75	22759.0	6386.0	14081.25	22620.2	12793.8
2025-05-15 19:20:59.000000	25045.5	22764.4	6389.8	14085.6	22611.35	12796.55
2025-05-15 19:25:59.000000	25070.3	22780.0	6397.5	14096.5	22614.65	12805.1
2025-05-15 19:30:59.000000	25039.8	22759.1	6387.55	14083.4	22600.45	12793.45
2025-05-15 19:35:59.000000	25057.1	22766.35	6394.1	14085.55	22598.4	12797.35
2025-05-15 19:40:59.000000	25078.95	22782.8	6405.65	14100.15	22595.15	12806.2
2025-05-15 19:45:59.000000	25100.45	22799.45	6411.55	14108.9	22602.9	12815.35
2025-05-15 19:50:59.000000	25088.25	22794.4	6410.0	14110.0	22615.45	12812.85
2025-05-15 19:55:59.000000	25092.35	22797.15	6418.6	14117.9	22616.9	12814.4
2025-05-15 20:00:59.000000	25090.75	22802.3	6414.85	14118.95	22627.0	12817.4
2025-05-15 20:05:59.000000	25062.25	22783.5	6410.3	14112.1	22619.2	12807.05
2025-05-15 20:10:59.000000	25066.65	22785.8	6408.35	14110.8	22623.8	12808.4
2025-05-15 20:15:59.000000	25081.3	22797.65	6409.55	14114.95	22631.65	12815.0
2025-05-15 20:20:59.000000	25070.05	22794.1	6406.9	14111.3	22639.95	12813.25
2025-05-15 20:25:59.000000	25055.2	22786.2	6406.8	14112.95	22636.8	12808.9
2025-05-15 20:30:59.000000	25054.8	22785.65	6406.75	14115.9	22640.0	12808.65
2025-05-15 20:35:59.000000	25081.0	22800.7	6417.15	14122.4	22637.65	12816.75
2025-05-15 20:40:59.000000	25063.75	22789.65	6413.2	14115.1	22641.5	12810.85
2025-05-15 20:45:59.000000	25047.55	22777.3	6409.55	14113.3	22620.0	12803.75
2025-05-15 20:50:59.000000	25055.45	22783.65	6415.75	14119.9	22635.7	12807.5
2025-05-15 20:55:59.000000	25061.35	22786.9	6410.9	14118.2	22641.15	12809.35
2025-05-15 21:00:59.000000	25062.1	22788.8	6413.45	14118.85	22640.7	12810.4
2025-05-15 21:05:59.000000	25062.1	22788.8	6413.45	14118.85	22640.7	12810.4
2025-05-15 21:10:59.000000	25062.1	22788.8	6413.45	14118.85	22640.7	12810.4
2025-05-15 21:15:59.000000	25062.1	22788.8	6413.45	14118.85	22640.7	12810.4
2025-05-15 21:20:59.000000	25062.1	22788.8	6413.45	14118.85	22640.7	12810.4
2025-05-15 21:25:59.000000	25062.1	22788.8	6413.45	14118.85	22640.7	12810.4
2025-05-15 21:30:59.000000	25062.1	22788.8	6413.45	14118.85	22640.7	12810.4
